Ensembl	Gene	"Gene synonym"	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"MS evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific NX"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific NX"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific NX"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific NX"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific NX"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific pTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific pTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"
ENSG00000166847	DCTN5	"MGC3248, p25"	"Dynactin subunit 5"	Q9BTE1	16	23641392-23677455	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA042003, HPA063710"	Approved		Approved	"Nucleoplasm,Nuclear membrane"		"Nucleoplasm, Nuclear membrane"		"HPA042003: AB_10796468, HPA063710: "
ENSG00000137692	DCUN1D5	"FLJ32431, MGC2714"	"Defective in cullin neddylation 1 domain containing 5"	Q9BTE7	11	103062076-103092215	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA050863	Approved		Approved	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA050863: "
ENSG00000130311	DDA1	"C19orf58, MGC2594, PCIA1"	"DET1 and DDB1 associated 1"	Q9BW61	19	17309518-17323301	"Predicted intracellular proteins"	"Ubl conjugation pathway"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA042134, HPA055272"	Approved		Approved	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA042134: AB_10794169, HPA055272: "
ENSG00000165732	DDX21	"GURDB, RH-II/GU"	"DExD-box helicase 21"	Q9NR30	10	68956128-68985073	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Antiviral defense, Immunity, Innate immunity, rRNA processing, Transcription"	"Helicase, Hydrolase, RNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA036592, HPA036593"	Enhanced		Enhanced	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA036592: AB_10673625, HPA036593: AB_2675208"
ENSG00000174243	DDX23	"prp28, PRPF28, SNRNP100, U5-100K"	"DEAD-box helicase 23"	Q9BUQ8	12	48829764-48852842	"Enzymes, Predicted intracellular proteins"	"mRNA processing, mRNA splicing"	"Helicase, Hydrolase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA038680, HPA039037"	Approved		Supported	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA038680: AB_10795401, HPA039037: "
ENSG00000183258	DDX41	"ABS, MGC8828"	"DEAD-box helicase 41"	Q9UJV9	5	177511577-177517469	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"mRNA processing, mRNA splicing"	"Helicase, Hydrolase, RNA-binding"	"Disease mutation"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA017911, HPA048803"	Supported		Supported	Nucleoplasm,Nucleoli		Nucleoplasm	Nucleoli	"HPA017911: AB_1847558, HPA048803: "
ENSG00000278053	DDX52	ROK1	"DExD-box helicase 52"	Q9Y2R4	17	37609739-37643464	"Enzymes, Predicted intracellular proteins"		"Helicase, Hydrolase, RNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"							"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA056173	Uncertain		Supported	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA056173: "
ENSG00000111364	DDX55	KIAA1595	"DEAD-box helicase 55"	Q8NHQ9	12	123602077-123620941	"Enzymes, Predicted intracellular proteins"		"Helicase, Hydrolase, RNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA039962, HPA044101"	Approved		Enhanced	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA039962: , HPA044101: "
ENSG00000177030	DEAF1	"NUDR, SPN, ZMYND5"	"DEAF1, transcription factor"	O75398	11	644233-706715	"Disease related genes, Predicted intracellular proteins, Transcription factors"	"Neurogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Disease mutation, Epilepsy, Mental retardation"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 36.1"	"Cell line enhanced"	"Detected in many"		"HEK 293: 41.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA030302	Approved		Supported	"Nucleoplasm,Nucleoli fibrillar center"	"Intracellular and membrane"	Nucleoplasm	"Nucleoli fibrillar center"	"HPA030302: "
ENSG00000168350	DEGS2	"C14orf66, DES2, FADS8"	"Delta 4-desaturase, sphingolipid 2"	Q6QHC5	14	100143957-100160163	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Lipid biosynthesis, Lipid metabolism"	Oxidoreductase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 44.5;skin 1: 30.6"	"Cell line enriched"	"Detected in some"	20	"T-47d: 48.0"	"Low cancer specificity"	"Detected in many"			"Region enhanced"	"Detected in many"		"cerebellum: 22.9"	"Cell type enhanced"	"Detected in many"		"memory B-cell: 11.9"	"Group enriched"	"Detected in many"	5	"B-cells: 11.9;granulocytes: 6.4"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA046644			Approved	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA046644: "
ENSG00000174485	DENND4A	"IRLB, MYCPBP"	"DENN domain containing 4A"	Q7Z401	15	65658046-65792293	"Predicted intracellular proteins"	"Transcription, Transcription regulation"	"DNA-binding, Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA065343	Uncertain		Approved	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA065343: "
ENSG00000024526	DEPDC1	"DEP.8, DEPDC1A, FLJ20354, SDP35"	"DEP domain containing 1"	Q5TB30	1	68474152-68497221	"Predicted intracellular proteins"	"Transcription, Transcription regulation"	"GTPase activation, Repressor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"lymphoid tissue: 28.6;testis: 19.5"	"Low cell line specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in single"			"Cell type enhanced"	"Detected in single"		"T-reg: 2.6"	"Lineage enhanced"	"Detected in single"		"T-cells: 2.6"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			CAB017845	Approved		Supported	"Nucleoplasm,Nucleoli fibrillar center"		Nucleoplasm	"Nucleoli fibrillar center"	"CAB017845: "
ENSG00000169598	DFFB	"CAD, CPAN, DFF-40, DFF40"	"DNA fragmentation factor subunit beta"	O76075	1	3857267-3885429	"Predicted intracellular proteins"	Apoptosis	"Hydrolase, Nuclease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB004328, HPA052904"	Approved		Approved	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"CAB004328: AB_626776, HPA052904: "
ENSG00000130826	DKC1	"Cbf5, DKC, dyskerin, NAP57, NOLA4, XAP101"	"Dyskerin pseudouridine synthase 1"	O60832	X	154762742-154777689	"Disease related genes, Plasma proteins, Predicted intracellular proteins"	"Ribosome biogenesis, rRNA processing"	"Isomerase, Ribonucleoprotein, RNA-binding"	"Disease mutation, Dyskeratosis congenita"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell line enhanced"	"Detected in all"		"U-698: 113.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA000166, HPA000447, HPA001022, CAB033086"	Supported		Supported	"Nucleoplasm,Nucleoli fibrillar center"		"Nucleoli fibrillar center"	Nucleoplasm	"CAB033086: AB_2091314, HPA000166: AB_1078669, HPA000447: AB_1078667, HPA001022: "
ENSG00000082458	DLG3	"KIAA1232, MRX90, NE-Dlg, NEDLG, PPP1R82, SAP-102, SAP102"	"Discs large MAGUK scaffold protein 3"	Q92796	X	70444861-70505490	"Disease related genes, Plasma proteins, Predicted intracellular proteins"			"Mental retardation"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell line enhanced"	"Detected in many"		"HAP1: 20.6;SK-BR-3: 20.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	5	"gdT-cell: 2.1;MAIT T-cell: 1.8;memory CD4 T-cell: 1.7;memory CD8 T-cell: 2.4;naive CD4 T-cell: 1.1;naive CD8 T-cell: 1.8;NK-cell: 1.7;T-reg: 2.4"	"Group enriched"	"Detected in many"	5	"NK-cells: 1.7;T-cells: 2.4"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA001733, HPA078130"	Approved		Approved	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA001733: AB_1078675, HPA078130: "
ENSG00000171462	DLK2	"EGFL9, MGC2487"	"Delta like non-canonical Notch ligand 2"	Q6UY11	6	43450352-43456632	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"skin 1: 19.3"	"Cell line enhanced"	"Detected in many"		"HaCaT: 16.2;HBEC3-KT: 8.8;hTCEpi: 26.6"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA061223, HPA068672, HPA070955"	Uncertain		Approved	Nucleoplasm,Nucleoli,Vesicles		Nucleoplasm	"Nucleoli, Vesicles"	"HPA061223: , HPA068672: , HPA070955: "
ENSG00000101457	DNTTIP1	"C20orf167, dJ447F3.4, Tdif1"	"Deoxynucleotidyltransferase terminal interacting protein 1"	Q9H147	20	45791937-45811427	"Plasma proteins, Predicted intracellular proteins"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell line enhanced"	"Detected in all"		"PC-3: 74.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"neutrophil: 41.0"	"Group enriched"	"Detected in all"	7	"dendritic cells: 14.2;granulocytes: 41.0;monocytes: 16.6"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA045496			Supported	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA045496: "
ENSG00000134146	DPH6	"ATPBD4, MGC14798"	"Diphthamine biosynthesis 6"	Q7L8W6	15	35217345-35546193	"Enzymes, Predicted intracellular proteins"		Ligase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA042976, HPA055496"	Approved		Enhanced	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA042976: AB_10964890, HPA055496: "
ENSG00000189269	DRICH1	C22orf43	"Aspartate rich 1"	Q6PGQ1	22	23608452-23632321	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	7	"testis: 68.5"	"Cell line enriched"	"Detected in many"	5	"CACO-2: 15.3"	"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in single"			"Cell type enhanced"	"Detected in single"		"gdT-cell: 1.0"	"Low lineage specificity"	"Detected in single"											HPA020446			Approved	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA020446: AB_1853151"
ENSG00000104047	DTWD1	"MDS009, MGC111207"	"DTW domain containing 1"	Q8N5C7	15	49620980-49656232	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA042214	Uncertain		Approved	Nucleoplasm,Nucleoli,Vesicles		Nucleoli	"Nucleoplasm, Vesicles"	"HPA042214: "
ENSG00000091073	DTX2	"KIAA1528, RNF58"	"Deltex E3 ubiquitin ligase 2"	Q86UW9	7	76461676-76505995	"Enzymes, Predicted intracellular proteins"	"Notch signaling pathway, Ubl conjugation pathway"	Transferase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"blood: 19.1;esophagus: 19.2"	"Cell line enhanced"	"Detected in all"		"A549: 28.0;CAPAN-2: 46.2"	"Low cancer specificity"	"Detected in all"							"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA042931	Approved		Supported	"Nucleoplasm,Nuclear membrane"		"Nucleoplasm, Nuclear membrane"		"HPA042931: "
